Chr1	11913002	11913009	6.055905	-	11913009	11913009	0	0	8
Chr1	22644621	22644628	6.980001	-	22644628	22644628	0	0.00421377	8
Chr1	20646674	20646681	6.218132	-	20646681	20646681	0	0	8
Chr1	7913962	7913969	6.298513	+	7913969	7913969	0	0	8
Chr1	81351	81358	6.143893	+	81358	81358	0.00182066	0.000227582	8
Chr1	7416300	7416307	6.143632	-	7416307	7416307	0	0.000223714	8
Chr1	1889989	1889996	6.226229	-	1889996	1889996	0	0.0624434	8
Chr1	20693981	20693988	6.298513	-	20693988	20693988	0	0.000494314	8
Chr1	17625259	17625266	6.088084	-	17625266	17625266	0	0.0072432	8
Chr1	22392013	22392020	6.112859	-	22392020	22392020	0	0	8
Chr1	17134344	17134351	6.075964	+	17134351	17134351	0	0.0149309	8
Chr1	24994830	24994837	6.120957	+	24994837	24994837	0	0	8
Chr1	19278866	19278873	6.253515	-	19278873	19278873	0	0	8
Chr1	22006935	22006942	7.228983	-	22006942	22006942	0	0.000249625	8
Chr1	256506	256513	6.226229	+	256513	256513	0	0.0162175	8
Chr1	5547893	5547900	7.036108	+	5547900	5547900	0	0	8
Chr1	21034002	21034009	6.075964	-	21034009	21034009	0.00717842	0.00560772	8
Chr1	21556640	21556647	7.036108	-	21556647	21556647	0	0.000673547	8
Chr1	5540156	5540163	6.143893	+	5540163	5540163	0	0.025095	8
Chr1	8851295	8851302	6.971903	-	8851302	8851302	0	0	8
Chr1	23940781	23940788	7.228983	-	23940788	23940788	0.0431228	0.0127583	8
Chr1	16584583	16584590	6.408830	-	16584590	16584590	0	0	8
Chr1	21504082	21504089	6.044523	+	21504089	21504089	0	0	8
Chr1	4831837	4831844	6.971903	+	4831844	4831844	0.444014	0.0555018	8
Chr1	6169943	6169950	6.921593	-	6169950	6169950	0	0	8
Chr1	27579306	27579313	6.298513	-	27579313	27579313	0	0	8
Chr1	1370041	1370048	8.648924	-	1370048	1370048	0	0	8
Chr1	3684942	3684949	6.300728	-	3684949	3684949	0	0	8
Chr1	2033760	2033767	6.713596	-	2033767	2033767	0	0	8
Chr1	24860046	24860053	6.408293	-	24860053	24860053	0	0.00140511	8
Chr1	18641444	18641451	7.708113	+	18641451	18641451	0	0.0627597	8
Chr1	6328326	6328333	6.088084	+	6328333	6328333	0.00179292	0.000224115	8
Chr1	7027350	7027357	6.143632	+	7027357	7027357	0	0	8
Chr1	23316074	23316081	6.021714	+	23316081	23316081	0	0	8
Chr1	5964527	5964534	6.112859	-	5964534	5964534	0.00193892	0.00336505	8
Chr1	24728953	24728960	7.895152	-	24728960	24728960	0	0.00254017	8
Chr1	15432263	15432270	6.410298	+	15432270	15432270	0	0.0240375	8
Chr1	10463654	10463661	6.218132	-	10463661	10463661	0.00536429	0.000670536	8
Chr1	9927384	9927391	6.226229	+	9927391	9927391	0	0	8
Chr1	13581091	13581098	6.143632	-	13581098	13581098	0	0.0115218	8
Chr1	29908504	29908511	6.218132	-	29908511	29908511	0	0.00755215	8
Chr1	24253623	24253630	7.220177	+	24253630	24253630	0	0.000679036	8
Chr1	20052245	20052252	7.170962	+	20052252	20052252	0	0	8
Chr1	17993410	17993417	6.253515	-	17993417	17993417	0	0	8
Chr1	29744872	29744879	6.253515	-	29744879	29744879	0	0.000229253	8
