TermID	Name	Value	UserValue_0	UserValue_1	UserValue_2	UserValue_3	UserValue_4	UserValue_5	UserValue_6	UserValue_7	UserValue_8	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	PC3_0	PC3_1	PC3_2	Representative	Eliminated
"GO:0007623"	"circadian rhythm"	NaN	NaN	NaN	NaN	5	915	41	30113	0.011	0.93	4.09317644969625	0.0429093791793318	1	0	-7.24952621916491	1.35915448231587	-0.410595468577739	7.34358172443289	3.61407803786088	null	False
"GO:0008037"	"cell recognition"	NaN	NaN	NaN	NaN	7	915	70	30113	0.0076	0.74	4.42920301041371	0.0930245700171683	0.992179312107639	0	-7.68078959288796	-0.0814009792674322	-4.84291410204189	-2.83155848982637	2.83452481719977	null	False
"GO:0008152"	"metabolic process"	NaN	NaN	NaN	NaN	550	915	16802	30113	0.0052	0.58	7.24277235292311	60.5596218240454	1	0	-0.0555525875499085	-8.33300745684049	2.23782305286802	3.9522607648037	5.62493766048224	null	False
"GO:0009628"	"response to abiotic stimulus"	NaN	NaN	NaN	NaN	NaN	NaN	36	915	745	30113	5.21731809101955	0.571118573621875	0.845589959725462	0	-4.1840084799688	-3.9114793309951	-5.86238505522257	2.48091421521097	-0.683618503367395	null	False
"GO:0044706"	"multi-multicellular organism process"	NaN	NaN	NaN	NaN	NaN	7	915	105	30113	0.048	4.38560627359831	0.0841393644834235	0.964573674297885	0	-3.64840207329208	5.21259962280378	4.23608010143446	0.260877020621007	4.71927458028367	null	False
"GO:0048511"	"rhythmic process"	NaN	NaN	NaN	NaN	5	915	41	30113	0.011	0.93	4.50481055315069	0.110715339725626	1	0	-0.243865569611652	2.05087654496544	5.89735954409653	-1.88451818187934	1.18634359372823	null	False
"GO:0050789"	"regulation of biological process"	NaN	NaN	NaN	NaN	NaN	NaN	182	915	5307	30113	6.81813598931133	22.7796344025324	0.954585693807481	0	-5.98764139242609	3.21436920115306	2.31070488644078	-3.96911755472299	2.9166030990313	null	False
"GO:0071705"	"nitrogen compound transport"	NaN	NaN	NaN	NaN	NaN	19	915	407	30113	0.05	6.12199326579237	4.58568019970729	0.964958635113609	0	0.267838469451183	5.75018394843328	-0.901805366049254	-0.65212526216997	5.78942732241749	null	False
"GO:0015979"	"photosynthesis"	NaN	NaN	NaN	42	915	247	30113	1.5E-17	4.6E-14	NaN	4.7982292651977	0.217587118211011	0.946133858620093	0.00866617	1.10060170397895	-8.93291554104837	-4.47013850770338	-4.2316934594652	-0.0563592523528036	null	False
"GO:0007154"	"cell communication"	NaN	NaN	NaN	NaN	59	915	1452	30113	0.018	1	6.39100660091967	8.51956166642549	0.987457495920071	0.01322183	-1.22083737557608	-8.95698996682141	-1.9213488214906	-4.36984362204762	2.97261905156631	null	False
"GO:0046148"	"pigment biosynthetic process"	NaN	NaN	NaN	NaN	NaN	9	915	90	30113	0.0026	5.15197015301623	0.491335245210724	0.94310229146055	0.03456366	-3.16452009220546	2.95495892916237	-4.53800443673541	-3.77274712691821	-2.95330082671749	null	False
"GO:0015995"	"chlorophyll biosynthetic process"	NaN	NaN	NaN	NaN	NaN	5	915	19	30113	0.00059	4.13991055587568	0.0477848154192042	0.840568154256658	0.80491522	null	null	null	null	null	46148	True
"GO:0042440"	"pigment metabolic process"	NaN	NaN	NaN	NaN	NaN	11	915	112	30113	0.0011	5.18300491445475	0.527731346288351	0.961024829499138	0.03746353	-5.47981217778365	1.16903444794621	-0.921175468346685	5.16534397815307	5.46854315028139	null	False
"GO:0006629"	"lipid metabolic process"	NaN	NaN	NaN	NaN	NaN	44	915	1070	30113	0.031	6.11368637440351	4.49880186500672	0.93136907389191	0.04740407	2.94098945616562	5.57241701722397	-0.905356101593791	-5.06144500261991	-3.02216337333838	null	False
"GO:0019684"	"photosynthesis, light reaction"	NaN	NaN	NaN	NaN	NaN	24	915	126	30113	1.6E-11	4.41091213886308	0.0891879341124959	0.899548704391353	0.05270909	-0.0695980956927939	-0.296275396600814	4.45020158834599	-3.9650916065433	-0.707123508167579	null	False
"GO:0009768"	"photosynthesis, light harvesting in photosystem I"	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15	915	3.03181227133037	0.00372236786780033	0.911364175446545	0.71042075	null	null	null	null	null	19684	True
"GO:0009765"	"photosynthesis, light harvesting"	NaN	NaN	NaN	NaN	NaN	16	915	43	30113	9.6E-12	3.87817698049151	0.0261535297725543	0.901707363656145	0.80111831	null	null	null	null	null	19684	True
