TermID	Name	Value	UserValue_0	UserValue_1	UserValue_2	UserValue_3	UserValue_4	UserValue_5	UserValue_6	UserValue_7	UserValue_8	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	PC3_0	PC3_1	PC3_2	Representative	Eliminated
"GO:0002376"	"immune system process"	NaN	NaN	NaN	NaN	NaN	22	945	369	28362	0.0087	5.2205865947561	0.575433057680739	1	0	6.03115041458913	5.55775220235952	2.50391968045926	0.151105256208297	7.83637880639313	null	False
"GO:0007623"	"circadian rhythm"	NaN	NaN	NaN	NaN	23	945	134	28362	1.4E-09	2.7E-07	4.09317644969625	0.0429093791793318	1	0	6.66891644254199	5.48867618258329	0.996666933366854	-1.68511517410543	7.70134120093634	null	False
"GO:0008150"	"biological_process"	NaN	NaN	NaN	NaN	369	945	9448	28362	0.00016	0.007	7.46058918866241	100	1	0	7.1614729753361	5.06457532655625	2.74760284390133	4.48651632800461	6.35808192835334	null	False
"GO:0008152"	"metabolic process"	NaN	NaN	NaN	NaN	464	945	12035	28362	2.8E-05	0.0014	7.24277235292311	60.5596218240454	1	0	5.85127190529326	6.19756410808947	-2.21221284177235	-2.13422170613982	6.77002011024316	null	False
"GO:0009606"	"tropism"	NaN	NaN	NaN	9	945	81	28362	0.0025	0.085	NaN	3.90843139896601	0.0280406837148345	0.811276185060438	0	7.39703140504514	-1.42407756102131	6.09829832318821	2.53316644437098	0.99451284611163	null	False
"GO:0009987"	"cellular process"	NaN	NaN	NaN	NaN	NaN	270	945	6591	28362	0.00011	7.35044943385149	77.5997354798827	1	0	-4.01916540789384	3.13513172073999	2.04965658055986	1.91986285864626	7.65742409145438	null	False
"GO:0010118"	"stomatal movement"	NaN	NaN	NaN	NaN	12	945	109	28362	0.00055	0.023	2.79309160017658	0.00214685402608019	0.994891709318437	0	3.97197222930582	7.37701541288394	2.40020932416287	-2.01531913637966	7.5752335950165	null	False
"GO:0015977"	"carbon fixation"	NaN	NaN	NaN	NaN	5	945	24	28362	0.0022	0.075	4.16220583117701	0.0503021748981725	0.974864744503035	0	5.0685716972815	5.85743003847315	0.83454646515818	0.428996067069811	7.89088875160968	null	False
"GO:0023052"	"signaling"	NaN	NaN	NaN	114	945	1997	28362	3.9E-08	5.5E-06	NaN	6.3640212646283	8.00630080880648	1	0	-4.56349575048033	5.12069875946442	3.59777758706246	7.07195928828389	-0.788636477481868	null	False
"GO:0042886"	"amide transport"	NaN	NaN	NaN	NaN	7	945	83	28362	0.026	0.56	5.06413214615906	0.401364748179044	0.995240845428702	0	-5.50288894025026	3.59464797263569	-2.27316427840868	-2.71901282110386	-5.0300127732423	null	False
"GO:0048511"	"rhythmic process"	NaN	NaN	NaN	NaN	23	945	146	28362	6.2E-09	1.1E-06	4.50481055315069	0.110715339725626	1	0	-5.53522622806333	1.04475261065711	1.09020031809364	-4.48807138440218	-5.09894618217009	null	False
